frame,x,y,z,speed,steer,acc,brake,collision,offtrack,reward
0,0.0,0.0,0.0,0.0,-1414,1,0,0,0,0.0
1,0.1,-0.1414,0.0,10,-2265,1,0,0,0,0.1
2,0.2,-0.3679,0.0,10,-838,1,0,0,0,0.1
3,0.30000000000000004,-0.4517,0.0,10,968,1,0,0,0,0.1
4,0.4,-0.3549,0.0,10,-2950,1,0,0,0,0.1
5,0.5,-0.6498999999999999,0.0,10,-2257,1,0,0,0,0.1
6,0.6,-0.8755999999999999,0.0,10,828,1,0,0,0,0.1
7,0.7,-0.7928,0.0,10,2236,1,0,0,0,0.1
8,0.7999999999999999,-0.5691999999999999,0.0,10,2378,1,1,0,0,0.1
9,0.8999999999999999,-0.3313999999999999,0.0,10,-1682,1,0,0,0,0.1
10,0.9999999999999999,-0.49959999999999993,0.0,10,-1050,1,0,0,0,0.1
11,1.0999999999999999,-0.6045999999999999,0.0,10,1906,1,0,0,0,0.1
12,1.2,-0.4139999999999999,0.0,10,-497,1,0,0,0,0.1
13,1.3,-0.46369999999999995,0.0,10,130,1,0,0,0,0.1
14,1.4000000000000001,-0.45069999999999993,0.0,10,-1109,1,1,0,0,0.1
15,1.5000000000000002,-0.5615999999999999,0.0,10,-1435,1,0,0,0,0.1
16,1.6000000000000003,-0.7050999999999998,0.0,10,1234,1,0,0,0,0.1
17,1.7000000000000004,-0.5816999999999999,0.0,10,-292,1,0,0,0,0.1
18,1.8000000000000005,-0.6108999999999999,0.0,10,-42,1,0,0,0,0.1
19,1.9000000000000006,-0.6150999999999999,0.0,10,230,1,0,0,0,0.1
20,2.0000000000000004,-0.5920999999999998,0.0,10,-2191,1,0,0,0,0.1
21,2.1000000000000005,-0.8111999999999998,0.0,10,-542,1,0,0,0,0.1
22,2.2000000000000006,-0.8653999999999998,0.0,10,2365,1,0,0,0,0.1
23,2.3000000000000007,-0.6288999999999998,0.0,10,-2246,1,0,0,0,0.1
24,2.400000000000001,-0.8534999999999998,0.0,10,1154,1,0,0,0,0.1
25,2.500000000000001,-0.7380999999999998,0.0,10,-1875,1,0,0,0,0.1
